ComboID,Sugar,Ice,Size,Shots,Notes
1,0%,0%,Medium,2,test
2,0%,100%,Small,0,test
3,200%,25%,Large,5,test
4,50%,50%,Large,1,test
5,25%,25%,Large,1,test
6,50%,0%,Medium,3,test
7,0%,0%,Medium,4,test
8,25%,50%,Large,0,test
9,50%,100%,Large,4,test
10,100%,50%,Small,5,test
11,200%,150%,Large,1,test
12,200%,150%,Large,0,test
13,150%,25%,Small,2,test
14,100%,0%,Medium,4,test
15,25%,25%,Small,3,test
16,200%,25%,Medium,4,test
17,25%,100%,Small,4,test
18,150%,150%,Large,5,test
19,0%,150%,Large,4,test
20,0%,100%,Small,1,test
21,100%,25%,Small,2,test
22,50%,50%,Medium,0,test
23,50%,25%,Large,1,test
24,50%,50%,Large,5,test
25,100%,100%,Large,5,test
26,100%,50%,Medium,0,test
27,200%,200%,Medium,4,test
28,100%,150%,Medium,3,test
29,50%,150%,Medium,3,test
30,50%,0%,Large,4,test
31,25%,200%,Small,2,test
32,100%,25%,Large,4,test
33,50%,100%,Large,5,test
34,50%,0%,Medium,4,test
35,100%,200%,Small,0,test
36,100%,50%,Large,2,test
37,25%,200%,Small,3,test
38,100%,50%,Large,3,test
39,50%,150%,Large,4,test
40,25%,25%,Medium,2,test
41,50%,200%,Medium,0,test
42,50%,25%,Large,0,test
43,150%,25%,Large,1,test
44,0%,150%,Small,2,test
45,25%,0%,Small,4,test
46,25%,200%,Medium,5,test
47,100%,200%,Small,2,test
48,25%,50%,Large,5,test
49,100%,50%,Small,4,test
50,25%,150%,Small,2,test
51,0%,50%,Large,2,test
52,100%,25%,Small,2,test
53,50%,25%,Medium,3,test
54,0%,150%,Large,4,test
55,0%,100%,Small,4,test
56,0%,25%,Large,4,test
57,50%,200%,Large,5,test
58,50%,25%,Small,4,test
59,100%,25%,Large,2,test
60,100%,50%,Medium,2,test
61,0%,50%,Small,1,test
62,50%,0%,Medium,1,test
63,100%,200%,Large,2,test
64,0%,100%,Large,5,test
65,50%,25%,Medium,3,test
66,200%,100%,Large,4,test
67,50%,100%,Large,0,test
68,150%,200%,Small,5,test
69,200%,100%,Small,2,test
70,50%,0%,Medium,1,test
71,25%,25%,Small,4,test
72,200%,200%,Large,0,test
73,150%,0%,Medium,4,test
74,0%,50%,Small,0,test
75,150%,0%,Medium,5,test
76,25%,200%,Large,1,test
77,0%,150%,Large,2,test
78,25%,150%,Small,3,test
79,25%,100%,Small,5,test
80,200%,0%,Medium,3,test
81,150%,25%,Small,1,test
82,200%,200%,Large,0,test
83,150%,150%,Small,1,test
84,200%,25%,Small,0,test
85,25%,100%,Large,1,test
86,25%,50%,Large,1,test
87,100%,50%,Large,1,test
88,100%,50%,Medium,4,test
89,100%,50%,Large,2,test
90,50%,25%,Small,5,test
91,200%,50%,Medium,5,test
92,25%,25%,Small,5,test
93,50%,25%,Medium,0,test
94,0%,200%,Large,5,test
95,150%,50%,Large,3,test
96,0%,0%,Medium,4,test
97,200%,200%,Medium,1,test
98,100%,100%,Small,4,test
99,50%,200%,Small,0,test
100,50%,0%,Large,0,test
101,200%,100%,Medium,0,test
102,25%,150%,Small,1,test
103,50%,25%,Medium,5,test
104,50%,200%,Small,1,test
105,200%,100%,Large,0,test
106,150%,50%,Small,5,test
107,25%,25%,Small,5,test
108,100%,25%,Small,5,test
109,25%,150%,Large,0,test
110,150%,0%,Small,4,test
111,100%,200%,Large,3,test
112,200%,25%,Medium,0,test
113,200%,50%,Small,4,test
114,200%,200%,Medium,0,test
115,200%,0%,Large,2,test
116,50%,200%,Small,4,test
117,50%,0%,Medium,2,test
118,100%,0%,Large,2,test
119,150%,25%,Large,1,test
120,100%,25%,Medium,2,test
121,200%,100%,Large,0,test
122,150%,100%,Medium,1,test
123,150%,150%,Large,1,test
124,50%,150%,Medium,5,test
125,150%,100%,Large,3,test
126,50%,25%,Small,3,test
127,50%,150%,Small,0,test
128,200%,25%,Medium,5,test
129,50%,150%,Small,1,test
130,50%,25%,Medium,1,test
131,50%,25%,Large,2,test
132,25%,25%,Large,2,test
133,50%,0%,Large,5,test
134,100%,100%,Medium,5,test
135,0%,150%,Small,2,test
136,0%,0%,Small,1,test
137,0%,100%,Small,3,test
138,200%,150%,Large,5,test
139,200%,50%,Medium,0,test
140,25%,100%,Medium,0,test
141,50%,200%,Small,4,test
142,100%,150%,Medium,5,test
143,150%,100%,Medium,3,test
144,200%,0%,Small,3,test
145,0%,0%,Small,0,test
146,25%,25%,Medium,2,test
147,25%,100%,Large,5,test
148,25%,100%,Small,2,test
149,50%,25%,Large,2,test
150,50%,25%,Small,5,test
151,25%,200%,Medium,5,test
152,50%,25%,Small,4,test
153,100%,150%,Small,1,test
154,150%,150%,Medium,5,test
155,100%,200%,Small,4,test
156,200%,200%,Large,0,test
157,100%,0%,Medium,5,test
158,200%,25%,Medium,4,test
159,200%,25%,Small,4,test
160,50%,0%,Medium,0,test
161,100%,200%,Medium,5,test
162,200%,25%,Medium,4,test
163,150%,100%,Small,1,test
164,150%,25%,Small,3,test
165,50%,50%,Medium,0,test
166,100%,25%,Medium,4,test
167,200%,100%,Medium,3,test
168,100%,0%,Large,1,test
169,0%,150%,Medium,2,test
170,150%,25%,Large,3,test
171,50%,100%,Medium,2,test
172,100%,0%,Large,0,test
173,50%,200%,Medium,0,test
174,25%,0%,Large,2,test
175,150%,0%,Medium,3,test
176,50%,200%,Large,1,test
177,25%,100%,Medium,3,test
178,200%,0%,Small,4,test
179,0%,25%,Large,2,test
180,25%,100%,Small,1,test
181,100%,150%,Medium,5,test
182,0%,100%,Small,0,test
183,0%,50%,Medium,0,test
184,100%,50%,Large,1,test
185,0%,50%,Large,1,test
186,25%,0%,Large,5,test
187,200%,25%,Large,1,test
188,50%,0%,Medium,0,test
189,100%,150%,Large,2,test
190,150%,150%,Medium,5,test
191,100%,100%,Large,4,test
192,150%,25%,Large,1,test
193,50%,50%,Medium,3,test
194,100%,150%,Medium,0,test
195,200%,50%,Large,5,test
196,50%,0%,Medium,5,test
197,150%,200%,Small,4,test
198,50%,25%,Large,2,test
199,150%,50%,Medium,1,test
200,0%,150%,Large,5,test
201,100%,150%,Large,0,test
202,100%,200%,Medium,3,test
203,100%,0%,Medium,2,test
204,25%,100%,Medium,2,test
205,0%,25%,Medium,1,test
206,150%,100%,Medium,3,test
